PropertyStore FormatID\ID,Description
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\7,App User Model Is DestList Link
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\8,AppUserModel ExcludeFromShowInNewInstall
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\9,AppUserModel PreventPinning
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\10,App User Model Best Shortcut
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\11,AppUserModel IsDualMode
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\12,AppUserModel StartPinOption
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\13,App User Model Relevance
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\14,App User Model Host Environment
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\15,App User Model Package Install Path
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\16,App User Model Record State
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\17,App User Model Package Family Name
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\18,App User Model Installed By
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\19,App User Model Parent ID
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\20,App User Model Activation Context
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\21,App User Model Package Full Name
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\22,App User Model Package Relative Application ID
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\23,App User Model Excluded From Launcher
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\24,App User Model AppCompat ID
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\25,App User Model Run Flags
9F4C2855-9F79-4B39-A8D0-E1D42DE1D5F3\26,AppUserModel ToastActivatorCLSID
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\27,App User Model DestList Provided Title
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\28,App User Model DestList Provided Description
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\29,App User Model DestList Logo Uri
9f4c2855-9f79-4b39-a8d0-e1d42de1d5f3\30,App User Model DestList Provided Group Name
446D16B1-8DAD-4870-A748-402EA43D788C\100,ThumbnailCacheId
446D16B1-8DAD-4870-A748-402EA43D788C\104,VolumeId
446d16b1-8dad-4870-a748-402ea43d788c\105,Tooltip Thumbnail Stream
fb8d2d7b-90d1-4e34-bf60-6eac09922bbf\2,WinX Hash
F29F85E0-4FF9-1068-AB91-08002B27B3D9\3,Subject
F29F85E0-4FF9-1068-AB91-08002B27B3D9\4,Author
F29F85E0-4FF9-1068-AB91-08002B27B3D9\5,Keywords
F29F85E0-4FF9-1068-AB91-08002B27B3D9\6,Comment
F29F85E0-4FF9-1068-AB91-08002B27B3D9\7,Document Template
F29F85E0-4FF9-1068-AB91-08002B27B3D9\8,Document LastAuthor
F29F85E0-4FF9-1068-AB91-08002B27B3D9\9,Document RevisionNumber
F29F85E0-4FF9-1068-AB91-08002B27B3D9\10,Document TotalEditingTime
F29F85E0-4FF9-1068-AB91-08002B27B3D9\11,Document DatePrinted
F29F85E0-4FF9-1068-AB91-08002B27B3D9\12,Document DateCreated
F29F85E0-4FF9-1068-AB91-08002B27B3D9\13,Document DateSaved
F29F85E0-4FF9-1068-AB91-08002B27B3D9\14,Document PageCount
F29F85E0-4FF9-1068-AB91-08002B27B3D9\15,Document WordCount
F29F85E0-4FF9-1068-AB91-08002B27B3D9\16,Document CharacterCount
F29F85E0-4FF9-1068-AB91-08002B27B3D9\17,Thumbnail
F29F85E0-4FF9-1068-AB91-08002B27B3D9\18,ApplicationName
F29F85E0-4FF9-1068-AB91-08002B27B3D9\19,Document Security
F29F85E0-4FF9-1068-AB91-08002B27B3D9\24,HighKeywords
F29F85E0-4FF9-1068-AB91-08002B27B3D9\25,LowKeywords
F29F85E0-4FF9-1068-AB91-08002B27B3D9\26,MediumKeywords
F29F85E0-4FF9-1068-AB91-08002B27B3D9\27,ThumbnailStream
841e4f90-ff59-4d16-8947-e81bbffab36d\2,Publisher Display Name
841e4f90-ff59-4d16-8947-e81bbffab36d\3,Software Registered Owner
841e4f90-ff59-4d16-8947-e81bbffab36d\4,Software Registered Company
841e4f90-ff59-4d16-8947-e81bbffab36d\5,Software AppId
841e4f90-ff59-4d16-8947-e81bbffab36d\6,Software Support Url
841e4f90-ff59-4d16-8947-e81bbffab36d\7,Software Support Telephone
841e4f90-ff59-4d16-8947-e81bbffab36d\8,Software Help Link
841e4f90-ff59-4d16-8947-e81bbffab36d\9,Software Install Location
841e4f90-ff59-4d16-8947-e81bbffab36d\10,Software Install Source
841e4f90-ff59-4d16-8947-e81bbffab36d\11,Software Date Installed
841e4f90-ff59-4d16-8947-e81bbffab36d\12,Software Support Contact Name
841e4f90-ff59-4d16-8947-e81bbffab36d\13,Software ReadMe Url
841e4f90-ff59-4d16-8947-e81bbffab36d\14,Software Update Info Url
841e4f90-ff59-4d16-8947-e81bbffab36d\15,Software Times Used
841E4F90-FF59-4D16-8947-E81BBFFAB36D\16,Software DateLastUsed
841e4f90-ff59-4d16-8947-e81bbffab36d\17,Software Tasks File Url
841e4f90-ff59-4d16-8947-e81bbffab36d\18,Software Parent Name
841e4f90-ff59-4d16-8947-e81bbffab36d\19,Software Product ID
841e4f90-ff59-4d16-8947-e81bbffab36d\20,Software Comments
841e4f90-ff59-4d16-8947-e81bbffab36d\997,Software Null Preview Total Size
841e4f90-ff59-4d16-8947-e81bbffab36d\998,Software Null Preview Subtitle
841e4f90-ff59-4d16-8947-e81bbffab36d\999,Software Null Preview Title
86d40b4d-9069-443c-819a-2a54090dccec\2,Tile Small Image Location
86d40b4d-9069-443c-819a-2a54090dccec\4,Tile Background Color
86d40b4d-9069-443c-819a-2a54090dccec\5,Tile Foreground Color
86d40b4d-9069-443c-819a-2a54090dccec\11,Tile Display Name
86d40b4d-9069-443c-819a-2a54090dccec\12,Tile Image Location
86d40b4d-9069-443c-819a-2a54090dccec\13,Tile Wide 310x150 Logo Path
86d40b4d-9069-443c-819a-2a54090dccec\14,Tile Unknown Flags
86d40b4d-9069-443c-819a-2a54090dccec\15,Tile Badge Logo Path
86d40b4d-9069-443c-819a-2a54090dccec\16,Tile Suite Display Name
86d40b4d-9069-443c-819a-2a54090dccec\17,Tile Suite Sor tName
86d40b4d-9069-443c-819a-2a54090dccec\18,Tile Display Name Language
86d40b4d-9069-443c-819a-2a54090dccec\19,Tile Square 310x310 Logo Path
86d40b4d-9069-443c-819a-2a54090dccec\20,Tile Square 70x70 Logo Path
86d40b4d-9069-443c-819a-2a54090dccec\21,Tile Fence Post
86d40b4d-9069-443c-819a-2a54090dccec\22,Tile Install Progress
86d40b4d-9069-443c-819a-2a54090dccec\23,Tile Encoded Target Path
B725F130-47EF-101A-A5F1-02608C9EEBAC\2,ItemFolderNameDisplay
b725f130-47ef-101a-a5f1-02608c9eebac\3,Search ClassID
B725F130-47EF-101A-A5F1-02608C9EEBAC\4,ItemTypeText
b725f130-47ef-101a-a5f1-02608c9eebac\8,File Index
b725f130-47ef-101a-a5f1-02608c9eebac\9,Search Last Change USN
B725F130-47EF-101A-A5F1-02608C9EEBAC\10,ItemNameDisplay
B725F130-47EF-101A-A5F1-02608C9EEBAC\12,Size
B725F130-47EF-101A-A5F1-02608C9EEBAC\13,FileAttributes
B725F130-47EF-101A-A5F1-02608C9EEBAC\14,DateModified
B725F130-47EF-101A-A5F1-02608C9EEBAC\15,DateCreated
B725F130-47EF-101A-A5F1-02608C9EEBAC\16,DateAccessed
B725F130-47EF-101A-A5F1-02608C9EEBAC\18,FileAllocationSize
B725F130-47EF-101A-A5F1-02608C9EEBAC\19,Search Contents
b725f130-47ef-101a-a5f1-02608c9eebac\20,Search ShortName
B725F130-47EF-101A-A5F1-02608C9EEBAC\21,FileFRN
b725f130-47ef-101a-a5f1-02608c9eebac\22,Search Scope
B725F130-47EF-101A-A5F1-02608C9EEBAC\23,ItemNameSortOverride
B725F130-47EF-101A-A5F1-02608C9EEBAC\24,ItemNameDisplayWithoutExtension
B725F130-47EF-101A-A5F1-02608C9EEBAC\25,FolderNameDisplay
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\2,Message BccAddress
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\3,Message BccName
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\4,Message CcAddress
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\5,Message CcName
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\6,ItemFolderPathDisplay
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\7,ItemPathDisplay
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\9,Communication AccountName
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\10,IsRead
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\11,Importance
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\12,FlagStatus
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\13,Message FromAddress
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\14,Message FromName
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\15,Message Store
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\16,Message ToAddress
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\17,Message ToName
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\18,Contact WebPage
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\19,Message DateSent
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\20,Message DateReceived
E3E0584C-B788-4A5A-BB20-7F5A44C9ACDD\21,Message AttachmentNames
00000000-0000-0000-0000-000000000000\0,Null
000214a1-0000-0000-c000-000000000046}\9,Status
00BC20A3-BD48-4085-872C-A88D77F5097E\105,Music ComposerSortOverride
00F58A38-C54B-4C40-8696-97235980EAE1\100,Calendar Resources
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\101,Contact JobInfo1YomiCompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\102,Contact JobInfo1CompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\103,Contact JobInfo1Title
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\104,Contact JobInfo1OfficeLocation
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\105,Contact JobInfo1Manager
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\106,Contact JobInfo1Department
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\107,Contact JobInfo2YomiCompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\108,Contact JobInfo2CompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\109,Contact JobInfo2Title
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\110,Contact JobInfo2OfficeLocation
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\112,Contact JobInfo2Manager
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\113,Contact JobInfo2Department
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\114,Contact JobInfo3YomiCompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\115,Contact JobInfo3CompanyName
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\116,Contact JobInfo3Title
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\117,Contact JobInfo3OfficeLocation
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\118,Contact JobInfo3Manager
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\119,Contact JobInfo3Department
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\120,Contact JobInfo1CompanyAddress
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\121,Contact JobInfo2CompanyAddress
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\123,Contact JobInfo3CompanyAddress
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\124,Contact Webpage2
00F63DD8-22BD-4A5D-BA34-5CB0B9BDCB03\125,Contact Webpage3
026E516E-B814-414B-83CD-856D6FEF4822\3,Devices InterfaceEnabled
026E516E-B814-414B-83CD-856D6FEF4822\4,Devices InterfaceClassGuid
026E516E-B814-414B-83CD-856D6FEF4822\6,Devices RestrictedInterface
029C0252-5B86-46C7-ACA0-2769FFC8E3D4\100,GPS LatitudeRef
02B0F689-A914-4E45-821D-1DDA452ED2C4\100,GPS LongitudeNumerator
03089873-8EE8-4191-BD60-D31F72B7900B\100,Contact DisplayOtherPhoneNumbers
0337ECEC-39FB-4581-A0BD-4C4CC51E9914\100,Photo ApertureNumerator
048658AD-2DB8-41A4-BBB6-AC1EF1207EB1\100,ItemClassType
05e932b1-7ca2-491f-bd69-99b4cb266cbb\2,Connected Search Disambiguation Text
06704B0C-E830-4C81-9178-91E4E95A80A0\2,Devices NotificationStore
06704B0C-E830-4C81-9178-91E4E95A80A0\3,Devices Notification
084D8A0A-E6D5-40DE-BF1F-C8820E7C877C\100,Task CompletionStatus
08A65AA1-F4C9-43DD-9DDF-A33D8E7EAD85\100,Contact HomeAddressCountry
08C7CC5F-60F2-4494-AD75-55E3E0B5ADD0\100,Task Owner
08F6D7C2-E3F2-44FC-AF1E-5AA5C81A2D3E\100,Photo MaxAperture
09329b74-40a3-4c68-bf07-af9a572f607c\100,Is Folder
0933F3F5-4786-4F46-A8E8-D64DD37FA521\100,Photo FocalPlaneXResolutionDenominator
09429607-582D-437F-84C3-DE93A2B24C3C\100,Calendar OptionalAttendeeNames
09736039-456b-4219-ba3e-ec573b58cf97\2,Secondary Tile Is Uninstalled
09EDD5B6-B301-43C5-9990-D00302EFFD46\100,Media AverageLevel
0A7B84EF-0C27-463F-84EF-06C5070001BE\10,DeviceInterface PrinterName
0abe4d16-9384-426b-b41a-eac3c8e0f147\2,Search Content Snippet
0ADEF160-DB3F-4308-9A21-06237B16FA2A\100,Contact HomeAddressStreet
0B48F35A-BE6E-4F17-B108-3C4073D1669A\15,Device PrinterURL
0B63E343-9CCC-11D0-BCDB-00805FCCCE04\2,Search UrlToIndex
0B63E343-9CCC-11D0-BCDB-00805FCCCE04\12,Search UrlToIndexWithModificationTime
0B63E343-9CCC-11D0-BCDB-00805FCCCE04\23,Search IsClosedDirectory
0B63E343-9CCC-11D0-BCDB-00805FCCCE04\24,Search IsFullyContained
0b63e343-9ccc-11d0-bcdb-00805fccce04\25,Search Provider Class
0b63e343-9ccc-11d0-bcdb-00805fccce04\26,Search Provider Web Domain
0b63e343-9ccc-11d0-bcdb-00805fccce04\27,Search Provider Result Limit
0B63E350-9CCC-11D0-BCDB-00805FCCCE04\5,MIMEType
0B63E350-9CCC-11D0-BCDB-00805FCCCE04\8,Search GatherTime
0b63e350-9ccc-11d0-bcdb-00805fccce04\9,Search Access Count
0b63e350-9ccc-11d0-bcdb-00805fccce04\11,Search Last Indexed Total Time
0B8BB018-2725-4B44-92BA-7933AEB2DDE7\2,Contact AccountPictureDynamicVideo
0B8BB018-2725-4B44-92BA-7933AEB2DDE7\3,Contact AccountPictureLarge
0B8BB018-2725-4B44-92BA-7933AEB2DDE7\4,Contact AccountPictureSmall
0BA7D6C3-568D-4159-AB91-781A91FB71E5\100,Calendar RequiredAttendeeAddresses
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\2,Devices AepContainer Children
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\3,Devices AepContainer CanPair
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\4,Devices AepContainer IsPaired
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\6,Devices AepContainer Manufacturer
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\7,Devices AepContainer ModelName
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\8,Devices AepContainer ModelIds
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\9,Devices AepContainer Categories
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\11,Devices AepContainer IsPresent
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\12,Devices AepContainer ContainerId
0BBA1EDE-7566-4F47-90EC-25FC567CED2A\13,Devices AepContainer ProtocolIds
0BE1C8E7-1981-4676-AE14-FDD78F05A6E7\100,Message SenderAddress
0be3fd71-3f87-40e0-aead-0294cf674635\2,Shell Is Dav Resource
0C73B141-39D6-4653-A683-CAB291EAF95B\2,Supplemental AlbumID
0C73B141-39D6-4653-A683-CAB291EAF95B\3,Supplemental ResourceId
0C840A88-B043-466D-9766-D4B26DA3FA77\100,Photo SubjectDistanceDenominator
0CB2BF5A-9EE7-4A86-8222-F01E07FDADAF\100,PropGroup PhotoAdvanced
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\3,FileDescription
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\4,FileVersion
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\5,InternalName
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\6,OriginalFileName
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\7,Software ProductName
0cef7d53-fa64-11d1-a203-0000f81fedee\8,Software Product Version
0CEF7D53-FA64-11D1-A203-0000F81FEDEE\9,Trademarks
0cef7d53-fa64-11d1-a203-0000f81fedee\11,Platform
0CF8FB02-1837-42F1-A697-A7017AA289B9\100,GPS DOP
0DA41CFA-D224-4A18-AE2F-596158DB4B3A\100,Message SenderName
0ded77b3-c614-456c-ae5b-285b38d7b01b\2,Launcher Order
0ded77b3-c614-456c-ae5b-285b38d7b01b\3,Launcher Group ID
0ded77b3-c614-456c-ae5b-285b38d7b01b\6,Launcher View ID
0ded77b3-c614-456c-ae5b-285b38d7b01b\7,Launcher App State
0ded77b3-c614-456c-ae5b-285b38d7b01b\8,Launcher Tile Size
0ded77b3-c614-456c-ae5b-285b38d7b01b\9,Launcher Group Name
0ded77b3-c614-456c-ae5b-285b38d7b01b\10,Launcher Splash Screen Image
0ded77b3-c614-456c-ae5b-285b38d7b01b\11,Launcher TileSize Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\12,Launcher ItemPosition Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\13,Launcher View ID Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\14,Launcher Group Membership Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\15,Launcher Group Name Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\16,Launcher Default Tile Size
0ded77b3-c614-456c-ae5b-285b38d7b01b\17,Launcher Placeholder Expiry Candidate
0ded77b3-c614-456c-ae5b-285b38d7b01b\18,Launcher Placeholder Expiry Candidate Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\19,Launcher Item Flags
0ded77b3-c614-456c-ae5b-285b38d7b01b\20,Launcher Group Position Timestamp
0ded77b3-c614-456c-ae5b-285b38d7b01b\21,Launcher Store Category
0ded77b3-c614-456c-ae5b-285b38d7b01b\22,Launcher Win Store Category Name
0ded77b3-c614-456c-ae5b-285b38d7b01b\23,Launcher SubgroupID
0F55CDE2-4F49-450D-92C1-DCD16301B1B7\100,GPS LatitudeDecimal
10984E0A-F9F2-4321-B7EF-BAF195AF4319\100,ParentalRatingReason
10B24595-41A2-4E20-93C2-5761C1395F32\100,GPS ImgDirectionDenominator
10DABE05-32AA-4C29-BF1A-63E2D220587F\100,Image ImageID
1173f62a-2a55-4f62-aed6-8c7112e0f7a3\5,Force Full Text
11D6336B-38C4-4EC9-84D6-EB38D0B150AF\100,Contact OtherEmailAddresses
125491F4-818F-46B2-91B5-D537753617B2\100,GPS Status
12ea418f-d8cd-4cdf-9b23-457eaac7ff0d\100,Communication Directory Server
12fa14f5-c6fe-4545-bce2-1ed6cb6b8422\2,Connected Search Link Text
13673F42-A3D6-49F6-B4DA-AE46E0C5237C\2,Devices DevObjectType
13EB7FFC-EC89-4346-B19D-CCC6F1784223\101,Music AlbumTitleSortOverride
14977844-6B49-4AAD-A714-A4513BF60460\100,Contact FirstName
149C0B69-2C2D-48FC-808F-D318D78C4636\2,Volume IsMappedDrive
14B81DA1-0135-4D31-96D9-6CBFC9671A99\259,Image Compression
14B81DA1-0135-4D31-96D9-6CBFC9671A99\271,Photo CameraManufacturer
14B81DA1-0135-4D31-96D9-6CBFC9671A99\272,Photo CameraModel
14B81DA1-0135-4D31-96D9-6CBFC9671A99\273,Photo CameraSerialNumber
14B81DA1-0135-4D31-96D9-6CBFC9671A99\274,Photo Orientation
14B81DA1-0135-4D31-96D9-6CBFC9671A99\305,SoftwareUsed
14B81DA1-0135-4D31-96D9-6CBFC9671A99\18248,Photo Event
14B81DA1-0135-4D31-96D9-6CBFC9671A99\18258,DateImported
14b81da1-0135-4d31-96d9-6cbfc9671a99\33432,Image Copyright
14B81DA1-0135-4D31-96D9-6CBFC9671A99\33434,Photo ExposureTime
14B81DA1-0135-4D31-96D9-6CBFC9671A99\33437,Photo FNumber
14B81DA1-0135-4D31-96D9-6CBFC9671A99\34850,Photo ExposureProgram
14B81DA1-0135-4D31-96D9-6CBFC9671A99\34855,Photo ISOSpeed
14B81DA1-0135-4D31-96D9-6CBFC9671A99\36867,Photo DateTaken
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37377,Photo ShutterSpeed
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37378,Photo Aperture
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37380,Photo ExposureBias
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37382,Photo SubjectDistance
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37383,Photo MeteringMode
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37384,Photo LightSource
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37385,Photo Flash
14B81DA1-0135-4D31-96D9-6CBFC9671A99\37386,Photo FocalLength
14b81da1-0135-4d31-96d9-6cbfc9671a99\40096,Image Property Bag
14B81DA1-0135-4D31-96D9-6CBFC9671A99\40961,Image ColorSpace
14B81DA1-0135-4D31-96D9-6CBFC9671A99\41483,Photo FlashEnergy
1506935D-E3E7-450F-8637-82233EBE5F6E\2,Devices WiFiDirect InterfaceAddress
1506935D-E3E7-450F-8637-82233EBE5F6E\3,Devices WiFiDirect InterfaceGuid
1506935D-E3E7-450F-8637-82233EBE5F6E\4,Devices WiFiDirect GroupId
1506935D-E3E7-450F-8637-82233EBE5F6E\5,Devices WiFiDirect IsConnected
1506935D-E3E7-450F-8637-82233EBE5F6E\6,Devices WiFiDirect IsVisible
1506935D-E3E7-450F-8637-82233EBE5F6E\7,Devices WiFiDirect IsLegacyDevice
1506935D-E3E7-450F-8637-82233EBE5F6E\8,Devices WiFiDirect MiracastVersion
1506935D-E3E7-450F-8637-82233EBE5F6E\9,Devices WiFiDirect IsMiracastLcpSupported
1506935D-E3E7-450F-8637-82233EBE5F6E\10,Devices WiFiDirect Services
1506935D-E3E7-450F-8637-82233EBE5F6E\11,Devices WiFiDirect SupportedChannelList
1506935D-E3E7-450F-8637-82233EBE5F6E\12,Devices WiFiDirect InformationElements
1506935D-E3E7-450F-8637-82233EBE5F6E\13,Devices WiFiDirect DeviceAddress
16473C91-D017-4ED9-BA4D-B6BAA55DBCF8\100,GPS ImgDirection
16CBB924-6500-473B-A5BE-F1599BCBE413\100,Photo DigitalZoomNumerator
16E634EE-2BFF-497B-BD8A-4341AD39EEB9\100,GPS LatitudeDenominator
16EA4042-D6F4-4BCA-8349-7C78D30FB333\100,Photo ShutterSpeedNumerator
176DC63C-2688-4E89-8143-A347800F25E9\6,Contact JobTitle
176DC63C-2688-4E89-8143-A347800F25E9\7,Contact OfficeLocation
176DC63C-2688-4E89-8143-A347800F25E9\20,Contact HomeTelephone
176DC63C-2688-4E89-8143-A347800F25E9\25,Contact PrimaryTelephone
176DC63C-2688-4E89-8143-A347800F25E9\35,Contact MobileTelephone
176DC63C-2688-4E89-8143-A347800F25E9\47,Contact Birthday
176DC63C-2688-4E89-8143-A347800F25E9\48,Contact PrimaryEmailAddress
176DC63C-2688-4E89-8143-A347800F25E9\65,Contact HomeAddressCity
176DC63C-2688-4E89-8143-A347800F25E9\69,Contact PersonalTitle
176dc63c-2688-4e89-8143-a347800f25e9\70,Contact Given Name
176DC63C-2688-4E89-8143-A347800F25E9\71,Contact MiddleName
176DC63C-2688-4E89-8143-A347800F25E9\73,Contact Suffix
176DC63C-2688-4E89-8143-A347800F25E9\74,Contact NickName
176DC63C-2688-4E89-8143-A347800F25E9\75,Contact Prefix
1804d1fb-9fa4-441d-a536-76468ac43307\100,WebDav Path
182C1EA6-7C1C-4083-AB4B-AC6C9F4ED128\100,GPS DestLongitudeRef
188C1F91-3C40-4132-9EC5-D8B03B72A8A2\100,Calendar ResponseStatus
18BBD425-ECFD-46EF-B612-7B4A6034EDA0\100,Contact PrimaryAddressPostalCode
19B51FA6-1F92-4A5C-AB48-7DF0ABD67444\100,Image ResolutionUnit
1A701BF6-478C-4361-83AB-3701BB053C58\100,Photo Brightness
