ID,Application
606A33F5A27B57D4,Microsoft Built-in Computer Management 10.0.10011.16384 (Win10)
714B179E552596DF,Bullet Proof FTP 2.4.0 (Build 31)
817E5AD5BE351574,Microsoft Built-in Services 10.0.10011.16384 (Win10)
905C98E216107AA1,Microsoft Lync 2013 15.0.4753.1000
930CF1DD2266E2CB,DB Browser for SQLite
966FA7C312D9B10,Eraser 6.2.0.2970
977A5D147AA093F4,Lphant 3.51
989D7545C2B2E7B2,IMVU 465.8.0.0
1110D9896DCEDDB3,imgSeek 0.8.5
1434D6D62D64857D,BitLord 1.2.0-66
2417CAA1F2A881D4,ICQ 7.6 (Build 5617)
2437D4D14B056114,EiskaltDC++ 2.2.3
3094CDB43BF5E9C2,Microsoft Office OneNote 2010 x86
3198E37206F28DC7,CuteFTP 8.3 Professional (Build 8.3.4.0007)
3353B940C074FD0C,Microsoft Built-in Snipping Tool
3917DD550D7DF9A8,Konvertor 4.06 (Build 10)
4975D6798A8BDF66,7-Zip 4.65 / 9.20
6059DF4B02360AF,Kadu 0.10.0 / 0.6.5.5
6824F4A902C78FBD,Firefox 64.0
7010C278903C2B0F,Adobe Acrobat XI Pro 32-bit
7111C0CE965B7246,Battle.net
7494A606A9EEF18E,Crystal Player 1.98
7526DE4A8B5914D9,Forte Agent 6.00 (Build 32.1186)
8628E76FD9020E81,Fling File Transfer Plus 2.24
8904A5FD2D98B546,IceChat 7.70 20101031
9077B9C9CF187CC2,KeePass 1.36
9749CEA96D411F37,HexChat 2.10.2 64-bit
9839AEC31243A928,Microsoft Office Excel 2010 x86
26753C97EA000ECD,LibreOffice 5.1.0.3 Math
43886BA3395ACDCC,Easy Post 3.0
58170C92FA4B91A1,MediaMonkey
76689FF502A1FD9E,Imagine Image and Animation Viewer 1.0.7
86781FE8437DB23E,Messenger Pro 2.66.6.3353
96252DAFF039437A,Lphant 7.0.0.112351
689319B6547CDA85,emesene 2.11.7
1461132E553E2E6C,Firefox 6.0
2519133D6D830F7E,IMatch 3.6.0.113
3643905FCEAB2635,Cyberlink PowerDVD 16
6224453D9701A612,BinTube 3.7.1.0 (requires VLC 10.5!)
8172865A9D5185CB,Binreader 1.0 (Beta 1)
9560577FD87CF573,LeechFTP 1.3 (Build 207)
23646679AACCFAE0,Adobe Reader 9 x64
26717493B25AA6E1,Adobe Dreamweaver CS5 (32-bit)
36801066F71B73C5,Binbot 2.0
65009083BFA6A094,(app launched via XPMode)
728008617BC3E34B,eM Client 3.0.10206.0
780732558F827A42,AutoPix 5.3.3
784182360DE0C5B6,Kazaa Lite 1.7.1
226400522157FE8B,FileZilla Server 0.9.39 beta
BE2FD48BE71F4560,Autodesk DWG TrueView
C88C76A215679365,Axialis IconWorkshop 6
D1D9B843A81139C6,KeePass
D4E1769E47FFDE26,Cyberlink PhotoDirector 9
E4EA035065B5789A,Maël Hörz HxD Hex Editor 2.5
E353DE90C46ECF50,Hex-Rays IDA Pro
A1D19AFE5A80F80,FileZilla 2.2.32
A3E0D98F5653B539,Instantbird 1.0 (20110623121653) (JL support)
A5DB18F617E28A51,ICQ 6.5 (Build 2024)
A7BA40025DAC9A67,Microsoft Office Hub
A8DF13A46D66F6B5,Kommute (Calypso) 0.24
A31EC95FDD5F350F,BitComet
A75B276F6E72CF2A,Kazaa Lite Tools K++ 2.7.0 / WinMX 3.53
A79A7CE3C45D781,CuteFTP 7.1 (Build 06.06.2005.1)
A746F9625F7695E8,HeXHub 5.07
A777AD264B54ABAB,JetVideo 8.0.2.200 Basic
AC3A63B839AC9D3A,Azureus Vuze Bittorrent Client 4.6.0.4 / 5.7.1.0
AC8920ED05001800,DMDirc 0.6.5 (Profile store: C:\Users\$user\AppData\Roaming\DMDirc\)
ACCCA100973EF8DC,Azureus 2.0.8.4
ACE8715529916D31,40tude Dialog 2.0.15.1 (Beta 38)
AE6DF75DF512BD06,Microsoft Groove Music (Microsoft.ZuneMusic)
B7CB1D1C1991ACCF,FlashFXP 4.0.0 (Build 1548)
B8AB77100DF80AB2,Microsoft Office Excel 2016 x64
B8C29862D9F95832,Microsoft Office InfoPath 2010 x86
B39C5F226977725D,ACDSee Pro 8.1.99
B223C3FFBC0A7A42,Bersirc 2.2.14
B0236D03C0627AC4,ICQ 5.1 / ICQLite Build 1068
B868D9201B866D96,Microsoft Lync 4.0.7577.0
B3016B8DA2077262,eMule 0.50a
B3965C840BF28EF4,AIM 4.8.2616
B7173093B23B9A6A,Beyond Compare 4
BA3A45F7FD2583E1,Blubster 3.1.1
BA132E702C0147EF,KCeasy 0.19-rc1
BAEA31EACD87186B,BinaryBoy 1.97 (Build 55)
BBA8A4896F0D26F,Ares Chat Client (3.1.9.4045)
BC2F88ECCD3461B4,Microsoft Built-in Event Viewer 1.0 (Win10)
BC03160EE1A59FC1,Foxit PDF Reader 5.4.5
BCC705F705D8132B,Instan-t 5.2 (Build 2824)
BCD7BA75303ACBCF,BitLord 1.1
BE4875BB3E0C158F,CrossFTP 1.75a
BF483B423EBBD327,Binary Vortex 5.0
BFC1D76F16FA778F,Ares (Galaxy) 1.8.4 / 1.9.8 / 2.1.0 / 2.1.7.3041 / 3.1.9.4045
C01D68E40226892B,ClicksAndWhistles 2.7.146
C02BAF50D02056FC,FotoVac 1.0
C2D349A0E756411B,Adobe Reader 8.1.2
C04F69101C131440,CuteFTP 5.0 (Build 50.6.10.2)
C5EF839D8D1C76F4,LimeWire 5.2.13
C6F7B5BF1B9675E4,BitWise IM 1.7.3a
C8E4C10E5460B00C,iMesh 6.5.0.16898
C312E260E424AE76,Mail.Ru Agent 5.8 (JL support)
C845F3A6022D647C,Another File 2.03 (Build 2/7/2004)
C997D2E1A0F0929,BCWipe 6.08.6
C8112AC53C5ED250,Jetico Log Viewer 1.1
C634153E7F5FCE9C,IrfanView 3.10 / 4.30 / 4.41 32-bit
C765823D986857BA,Adobe Illustrator CS5 (32-bit)
C9374251EDB4C1A8,BitTornado T-0.3.17
CA942805559495E9,aMSN 0.98.4
CB5250EAEF7E3213,ApexDC++ 1.4.3.957
CBBE886ECA4BFC2D,ExoSee 1.0.0
CC76755E0F925CE6,AllPicturez 1.2
CCB36FF8A8C03B4B,Azureus 2.5.0.4 / Vuze 3.0.5.0
CCBA5A5986C77E43,Microsoft Edge (Chromium)
CCC0FA1B9F86F7B3,CCleaner 5.15.5513 64-bit
CD2ACD4089508507,AbsoluteTelnet 9.18 Lite
CDF30B95C55FD785,Microsoft Office Excel 2007
CF6379A9A987366E,Digibin 1.31
CFAB0EC14B6F953,Express NewsPictures 2.41 (Build 08.05.07.0)
D2D0FC95675FB2C8,Microsoft Built-in Print Management (Win10)
D5C3931CAAD5F793,Adobe Soundbooth CS5 (32-bit)
D22AD6D9D20E6857,ALLPlayer 4.7
D28EE773B2CEA9B2,3D-FTP 9.0 build 7
D38A3EA7EC79FBED,LibreOffice 5.1.0.3 Writer
D38ADEC6953449BA,Microsoft Office OneNote 2010 x64
D53B52FB65BDE78C,Android Newsgroup Downloader 6.2
D64D36B238C843A3,Microsoft Office InfoPath 2010 x86
D97EFDF3888FE7EB,KeePass 2.31
D838AAC097ABECE7,ACDSee Photo Manager 12 (Build 344)
D3530C5294441522,HydraIRC 0.3.165
D8081F151F4BD8A5,CuteFTP 8.3 Lite (Build 8.3.4.0007)
D78150E0484A4E1D,Evernote 5.9.6.9494
D460280B17628695,Java Binary
DB3B8D985F0668E,FreeFileSync 10.7
DC64DE6C91C18300,Brosix Communicator 3.1.3 (Build 110719 nid 1)
DD7C3B1ADB1C168B,Microsoft Game Bar
DE48A32EDCBE79E4,Acrobat Reader 15.x
E0F7A40340179171,imule 1.4.5 (rev. 749)
E1D47CB031DAFB9F,BearShare 6.0.0.22717 / 8.1.0.70928 / 10.0.0.112380
E2A593822E01AED3,Adobe Flash CS5 (32-bit)
E6EF42224B845020,ALFTP 5.20.0.4
E9A39DFBA105EA23,Faststone Image Viewer 4.6 / 5.5
E31A6A8A7506F733,Image AXS Pro 4.1
E73D9F534ED5618A,BitSpirit
E76A4EF13FBF2BB1,Manolito 3.1.1
E107946BB682CE47,Filezilla 3.5.1 / 3.16
EA83017CDD24374D,IrfanView Thumbnails
EAB25958DBDDBAA4,Binary News Reaper 2 (Beta 0.14.7.448)
EBD8C95D87F25154,Carrier 2.5.5
ECD1A5E2C3AF9C46,LibreOffice 5.1.0.3 Press
ED7A5CC3CCA8D52A,CCleaner 1.32.345 / 1.41.544 / 2.36.1233 / 3.10.1525
EDC786643819316C,HoneyView3 #5834
EE0C103672A7A2B9,ManyCam 6.7.0
EE462C3B81ABB6F6,Adobe Reader X 10.1.0
EF606B196796EBB,HP MediaSmart Photo
EFBB2BF3C1D06466,Auslogics Disk Defrag 6.2.1.0
F0C7BD3E0584A65A,InfraRecorder 0.53.0.0 32-bit
F1A4C04EEBEF2906,[i2p] Robert 0.0.29 Preferences
F001EA668C0AA916,Cabos 0.8.2
F5E4E50707BCD215,Microsoft Message Analyzer 1.4
F6FD5D99E2B6E178,LibreOffice 5.1.0.3 Draw
F09B920BFB781142,Camfrog 4.0.47 / 5.5.0 / 6.1 (build 146) (JL support)
F61B65550A84027E,iMesh 11.0.0.112351
F91FD0C57C4FE449,ExpanDrive 2.1.0
F214CA2DD40C59C1,FrostWire 4.20.9
F0275E8685D95486,Microsoft Office Excel 2013 x86
F0468CE1AE57883D,Adobe Reader 7.1.0
F82607A219AF2999,Cyberduck 4.1.2 (Build 8999)
F784591FF7F60F76,Microsoft Built-in Defragment and Optimize Drives (Win10)
FA02AA2C575837A6,Microsoft Built-in Task Scheduler 1.0 (Win10)
FA496FE13DD62EDF,KVIrc 3.4.2.1 / 4.0.4
FA7144034D7D083D,Directory Opus 10.0.2.0.4269 (JL tasks supported)
FAC3AA4105C6C466,Microsoft Built-in System Restore (Win7)
FB1F39D1F230480A,Bopup Messenger 5.6.2.9178
FC98C00F85D4CE77,EditPad Pro 8
FE5E840511621941,JetAudio
FF103E2CC310D0D,Adobe Reader XI
6274FF22C2061C60,Google PhotoViewer (Picasa)
00098B0EF1C84088,fulDC 6.78
03D877EC11607FE4,Thunderbird 6.0.2
05E01ECAF82F7D8E,Scour Exchange 0.0.0.228
070B52CF73249257,Sococo 1.5.0.2274
0B3F13480C2785AE,Paint 6.1 (build 7601: SP1)
0B48CE76EDA60B97,Shareaza 8.0.0.112300
1A60B1067913516A,Psi 0.14
1B4DD67F29CB1962,Windows Explorer Pinned and Recent.
1BC9BBBE61F14501,OneNote
1BC392B8E104A00E,Remote Desktop Connection
1C7A9BE1B15A03BA,Microsoft Snip & Sketch
1C30573BDFCE4155,Zenmap GUI 6.49BETA4
1CED32D74A95C7BC,Microsoft Visual Studio Code
1D12F965B876DC87,Snagit 2021
1DA3C90A72BF5527,Safari 4.0.5 (531.22.7) / 5.1 (7534.50)
2A5A615382A84729,X-Chat 2 2.8.6-2
2AA756186E21B320,RealTimeQuery 3.2
2B53C4DDF69195FC,Zune x64
2B164F512891AE37,NewsWolf NSListGen
2B5841989B3857DA,RealVNC Server 5.3.0 64-bit (Chat)
2CA2A1A69DC5465F,UltraVNC 1.2.1.0 Server Property Page
2D1658D5DC3CBE2D,MySpaceIM 1.0.823.0 Beta
2FA14C7753239E4C,Paint.NET 2.72 / 3.5.8.4081.24580
3C355482CB54F75B,Microsoft.GetHelp
3E4D62CF2C569BDF,MPC-HC (Media Player Classic - Home Cinema)
3A5148BF2288A434,Secure FTP 2.6.1 (Build 20101209.1254)
3B94415067DD2C5D,GOG Galaxy
3BE7B307DFCCB58F,NiouzeFire 0.8.7.0
3C0022D9DE573095,QuteCom 2.2
3C309C17F7E8FFE1,GIMP 2.8.16
3C3871276E149215,PowerShell 7
3CF13D83B0BD3867,RevConnect 0.674p (based on DC++)
3D877EC11607FE4,Thunderbird 6.0.2
3DF22B7648CEC4C1,TeamViewer 11.0.55321
3F2CD46691BBEE90,GOIM 1.1.0
3F97341A65BAC63A,Ozum 6.07 (Build 6070)
4ACAE695C73A28C7,VLC 0.3.0 / 0.4.6
4B632CF2CECEAC35,Robo-FTP Server 3.2.5
4D7BDAEA55AD352,PeaZip 6.0.0
4D8BDACF5265A04F,The KMPlayer 2.9.4.1434
4D72CFA1D0A67418,Newsgroup Image Collector
4E0AC37DB19CBA15,Xfire 1.138 (Build 44507)
4E538FDE985A3C01,Torch Browser 65.0.0.1614 (x86)
4F24A7B84A7DE5A6,Palringo 2.6.3 (r45983)
5E852F5F576F812C,MiTec JSON Viewer (JSONView.exe)
5B7F3287093C1623,Total Commander 8.52a 64-bit
5B72F67ADCCE9045,UltraVNC 1.2.1.0 Settings
5D7B4175AFDCC260,Shareaza 2.0.0.0
5E01ECAF82F7D8E,Scour Exchange 0.0.0.228
5EA2A50C7979FBDC,TrustyFiles 3.1.0.22
5F6E7BC0FB699772,Microsoft Office PowerPoint 2010 x64
5F7B5F1E01B83767,Quick Access
5F218922E0901EBF,MusicBee
5FB817CD5A8CAD21,Google Drive
5FD959F6FE6B8AE7,PuTTY 0.70 (x64)
6DC04F5CCC522861,Microsoft.Windows.ShellExperienceHost
6A8B377D0F5CB666,WinSCP 2.3.0 (Build 146)
6AA18A60024620AE,GCN 2.9.1
6BB54D82FA42128D,WinSCP 4.3.4 (Build 1428)
6E9A79992DA9EA2,Nokia PC Suite 7.1
6E9D40A4C63BB562,Real Player Alternative 1.25 (Media Player Classic 6.4.8.2 / 6.4.9.0)
6FEE01BD55A634FE,Smuxi 0.8.0.0
7A7C60EFD66817A2,Spotnet 1.7.4
7A8DB574299C8568,Windows Movie Maker 2012 (build 16.4.3528.0331)
7B2B4F995B54387D,News Reactor 20100224.16
7B4D500E147E4391,Tor Browser 8.0.4 (x64)
7FD04185AF357BD5,UltraLeeacher 1.7.0.2969 / 1.8 Beta (Build 3490)
8F4AE1DF7D39F816,X-Ways WinHex x64
8A1C1C7C389A5320,Safari 3.2.3 (525.29)
8B87640A40EC9FC,Snagit 2020
8BCE06A9E923E1F9,Slack 4.10.3
8C816C711D66A6B5,MSN Messenger 6.2.0137 / 7.0.0820
8E4E81D9ADC545B8,Microsoft Your Phone
8EAFBD04EC8631CE,VMware Workstation 9/11 x64
8FB5CE5E2B049CE,Windows Defender (Win10 built-in)
8FDB062F1E486CAC,Microsoft Powerpoint 2013 32-bit
9A3BDAE86D5576EE,WinSCP 3.2.1 (Build 174) / 3.8.0 (Build 312)
9A165F62EDBFA161,Microsoft Store
9B9CDC69C1C24E2B,Windows Notepad x64 (Notepad.exe)
47592B67DD97A119,Windows Notepad x32 (Notepad.exe)
122C907C4DC5911F,Mozilla Firefox x32
18FA158A64C9508A,Mozilla Firefox x32
33A00252C0FA56DE,Mozilla Firefox x32
6B8904E2B6864F0F,Mozilla Firefox x32
40371339AD31A7E6,Mozilla Firefox x64
58BEE77C49899591,Apple iTunes 12xxx x64
59FE1486D27AA9D0,Electronic Arts Origin
607258D66273FF4D,Microsoft Edge
69BACC0499D41C4,Microsoft Excel 12
6DA48F37C95D6E1,Google Chrome
6F4D358E50595AC1,Emsisoft Anti-Malware (a2start.exe)
95962CD8E90977CA,Emsisoft Anti-Malware (a2start.exe)
78AA210563284496,Windows Performance Toolkit (wpa.exe)
31B6EBFFF794EF0D,Opera Browser (Opera.exe)
8DE2636CECD37184,MusicBee
D014C0BE50851F63,MusicBee 3.4.2.0 x86
C08DDE8C94C16B10,Cyberlink PowerDVD 18
D788E8BC973B89E9,PKWARE PKZIP for Windows 14
EA64CE14E5470C33,Microsoft.PowerShell_7.2.1.0 x64
F2D2624B34821C85,Opera Browser (Opera.exe)
A712C324879904B1,Malwarebytes (assistant.exe)
B916037C1E115FE0,Microsoft Skype (Microsoft.SkypeApp_15)
647853318C96DFA5,Microsoft.Windows.Cortana
4B5F45DE9912DE53,Microsoft.Office.Desktop.Access_16xxx
1F1F846F76251EA8,Microsoft.Office.Desktop.Word_16xxx
3FE28476179FF940,Turnipsoft Freda (ebook reader)
9C7CC110FF56D1BD,Microsoft Office PowerPoint 2010 x86
9C08AD74AD8708DF,Microsoft Publisher 2016 64-bit
9D91276B0BE3E46B,Windows Help and Support (Built-in) Win7
9DACEBAA9AC8CA4E,TLNews Newsreader 2.2.0 (Build 2430)
9EFF0B23D51FE003,XMind 201807140020
9F03AE476AD461FA,GroupsAloud 1.0
9F5C7755804B850A,Windows Script Host - wscript.exe (64-bit)
9FDA41B86DDCF1DB,VLC Media Player
10F5A20C21466E85,FTP Voyager 15.2.0.17
12DC1EA8E34B5A6,Microsoft Paint
13D1F3EA8D0E7308,Tracker Software PDF-Xchange Viewer
16D71406474462B5,Snagit Editor 12.4.1
16EC093B8F51508F,Opera 8.54 build 7730 / 9.64 build 10487 / 11.50 build 1074
16F2F0042DDBE0E8,Windows Terminal
17D3EB086439F0D7,TrueCrypt 7 x64
19CCEE0274976DA8,mIRC 4.72 / 5.61
23EF200CA6364EFF,Oracle VM VirtualBox 5.0.16
23F08DAB0F6AAF30,SoMud 1.3.3
27DA120D7E75CF1F,pbFTPClient 6.1
36C36598B08891BF,Vovox 2.5.3.4250
40F2ACA05D8A33F2,Minitab 16
44A3621B32122D64,Microsoft Office Word 2010 x64
46E77B87767B92,Opera Browser 75
46F433176BC0B3D2,WinRAR
49B5EDBD92D8CD58,FTP Commander 8.02
51DCEBA79099D8D2,Sapien PowerShell Studio
54C803DFC87B52BA,Nettalk 6.7.12
56C5204009D2B915,uTorrent 3.5.5
62BFF50B969C2575,Quintessential Media Player 5.0
62DBA7FB39BB0ADC,Yahoo Messenger
70B52CF73249257,Sococo 1.5.0.2274
73CE3745A843C0A4,FrostWire 5.1.4
74D7F43C1561FC1E,Windows Media Player 12
74EA779831912E30,Skype 7
86B804F7A28A3C17,Miranda IM 0.6.8 / 0.7.6 / 0.8.27 / 0.9.9 / 0.9.29
90E5E8B21D7E7924,Winamp 3.0d (Build 488)
92F1D5DB021CD876,NewsLeecher 4.0 / 5.0 Beta 6
93B18ADF1D948FA3,qutIM 0.2
98AAEA517363A6FA,Microsoft.DiagnosticDataViewer
98B0EF1C84088,fulDC 6.78
99C15CF3E6D52B61,mldonkey 3.1.0
135DF2A440ABE9BB,SoulSeek 156c
186B5CCADA1D986B,NewsGrabber 3.0.36
292A746334889A7E,SQLiteSpy 1.9.13
315E29A36E961336,Roboform 7.8
337ED59AF273C758,Microsoft Sticky Notes
352FD027C0E8F0E5,Zoom
387D72EB9C9AA960,UltraVNC 1.2.1.0 Launcher
409B67100697BCC0,Revo Uninstaller Pro 3.1.5
431A5B43435CC60B,Python (.pyc)
435A2F986B404EB7,SmartFTP 4.0.1214.0 / 7.0.2200.0
447E6AA2BBDFBC8A,Slack 4.11.3
466D339D8F21CFBF,Microsoft Snip & Sketch
469E4A7982CEA4D4,Microsoft Windows Wordpad
490C000889535727,WinMX 4.9.3.0
497F749B9F1A5D16,Microsoft.GamingApp
497B42680F564128,Zoner PhotoStudio 13 (Build 7)
500B8C1D5302FC9C,Python (.pyw)
521A29E5D22C13B4,Skype
550ABC1CB58EB92C,VeraCrypt 1.16 / 1.19 x64
590AEE7BDD69B59B,Windows Powershell 5.0 x64
624C8EB4922C2308,Modern CSV
770ECEBB12DFF1CA,Microsoft.Windows.CloudExperienceHost
776BEB1FCFC6DFA5,Thunderbird 1.0.6 (20050716) / 3.0.2
817BB211C92FD254,GOM Player 2.0.12.3375 / 2.1.28.5039
884FD37E05659F3A,VZOchat 6.3.5
888F2FA044591EDA,Twitter - Trusted Microsoft Store App (Win10)
918E0ECB43D17E23,Notepad (32-bit)
939C10C2C101C1B0,Stickies 9.0d
954EA5F70258B502,Windows Script Host - wscript.exe (32-bit)
971CC6AD207F36CB,PaintShopPro (X9)
2544FF74641B639D,WiseFTP 6.1.5
3168CC975B354A01,Slypheed 3.1.2 (Build 1120)
3461E4D1EB393C9C,WTW 0.8.18.2852 / 0.8.19.2940
3594AAB44BCA414B,Windows Photo Viewer
3866FF352D7719E1,Paint.NET 4.0.9
4278D3DC044FC88A,Gaim 1.5.0
4700FF5AE80A6713,PDFCreator 2.2
6728DD69A3088F97,Windows Command Processor - cmd.exe (64-bit)
7192F2DE78FD9E96,TIFNY 5.0.3
7593AF37134FD767,RealPlayer 6.0.6.99 / 7 / 8 / 10.5
7937DF3C65790919,FTP Explorer 10.5.19 (Build 001)
9027FE24326910D2,Thunderbird 38.6.0
9149D0F5EBF7F710,Microsoft Outlook (15)
9390EE5B658E96E,PuTTY 0.72 / 0.73
14354E216395983A,Remote Desktop Manager 2.1.0.0 FREE
18434D518C3A61EB,Minitab 17
20513CDF29D09C0E,Hex Editor Neo
23709F6439B9F03D,Hex Editor Neo 5.14
28493D9D08E13AA6,UltraVNC Viewer 1.2.1.0
50620FE75EE0093,VMware Player
67730E20CF5D43F7,MiTec JSON Viewer (JSONView.exe)
69639DF789022856,Google Chrome 86.0.4240.111
79370F660AB51725,UploadFTP 2.0.1.0
411447F7DE177C68,Windows DVD Maker 64-bit (Win7)
669967F27AFDEBEC,NirSoft PstPassword 1.20 (x86)
777483D3CDAC1727,Gajim 0.14.4
792699A1373F1386,Piolet 3.1.1
959668A81D4F220E,Sublime Text 3.2.1 (Build 3207)
